word	correct	predicted
belt	NN	NN
and	CC	CC
shirt	NN	NN
for	IN	IN
the	DT	DT
purpose	NN	NN
.	.	.

They	PRP	PRP
dragged	VBD	VBD
him	PRP	PRP
inside	IN	IN
the	DT	DT
building	NN	NN
.	.	.

Fiske	NNP	PRP
joined	VBD	VBD
them	PRP	PRP
,	,	,
unsteady	VB	VBG
on	IN	IN
his	PRP$	PRP$
feet	NNS	NNS
.	.	.

Julia	NNP	UH
,	,	,
seeing	VBG	VBG
the	DT	DT
bandage	NN	NN
,	,	,
rushed	VBD	VBD
to	TO	TO
him	PRP	PRP
.	.	.

``	``	``
You	PRP	PRP
are	VBP	VBP
hurt	VBN	JJ
''	''	''
!	.	.
!	.	.

She	PRP	PRP
breathed	VBD	JJ
.	.	.

I	PRP	PRP
never	RB	RB
felt	VBD	VBD
better	RB	RBR
in	IN	IN
my	PRP$	PRP$
life	NN	NN
''	''	''
,	,	,
Fiske	NNP	NN
blustered	VBD	''
.	.	.

He	PRP	PRP
turned	VBD	VBD
to	TO	TO
Susan	NNP	VB
and	CC	CC
kissed	VBD	VBD
her	PRP	PRP
on	IN	IN
the	DT	DT
cheek	NN	NN
.	.	.

``	``	``
Thank	VB	VB
you	PRP	PRP
,	,	,
My	PRP$	PRP$
dear	NN	NN
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
You	PRP	PRP
are	VBP	VBP
very	RB	RB
brave	JJ	VB
''	''	''
.	.	.

Mike	NNP	PRP
silenced	VBD	VBP
them	PRP	PRP
.	.	.

``	``	``
We	PRP	PRP
'll	MD	MD
talk	VB	VB
later	RB	RB
.	.	.

First	RB	UH
,	,	,
we	PRP	PRP
've	VB	VBP
got	VBD	VBN
to	TO	TO
get	VB	VB
out	RB	IN
of	IN	IN
here	RB	RB
''	''	''
.	.	.

We	PRP	PRP
'll	MD	MD
grab	VB	VB
horses	NNS	NNS
''	''	''
,	,	,
Dean	NNP	CC
said	VBD	VBD
.	.	.

``	``	``
The	DT	DT
main	JJ	JJ
bunch	NN	NN
is	VBZ	VBZ
outside	RB	RB
,	,	,
but	CC	CC
there	EX	EX
are	VBP	VBP
some	DT	RB
over	IN	IN
there	RB	RB
inside	IN	IN
the	DT	DT
wall	NN	NN
''	''	''
.	.	.

Mike	NNP	PRP
debated	VBD	VBP
it	PRP	PRP
,	,	,
trying	VBG	VBG
to	TO	TO
decide	VB	VB
whether	IN	IN
Fiske	NNP	PRP
was	VBD	VBD
strong	JJ	JJ
enough	RB	RB
to	TO	TO
ride	VB	VB
.	.	.

But	CC	CC
it	PRP	PRP
at	IN	IN
least	JJS	PRP
offered	VBD	VBD
him	PRP	PRP
a	DT	DT
chance	NN	NN
for	IN	IN
living	NN	NN
.	.	.

He	PRP	PRP
had	VBD	VBD
none	NN	VBN
here	RB	RB
.	.	.

And	CC	CC
,	,	,
for	IN	IN
the	DT	DT
sake	NN	NN
of	IN	IN
Julia	NNP	NNP
and	CC	CC
Susan	NNP	RB
,	,	,
it	PRP	PRP
had	VBD	VBD
to	TO	TO
be	VB	VB
tried	VBN	JJ
.	.	.

The	DT	DT
guerrilla	NN	NN
bivouac	NN	.
remained	VBD	JJ
silent	JJ	JJ
.	.	.

Light	NN	PRP
showed	VBD	VBD
in	IN	IN
the	DT	DT
orderly	JJ	JJ
room	NN	NN
across	IN	IN
the	DT	DT
parade	NN	JJ
ground	NN	NN
.	.	.

Someone	NN	``
evidently	RB	PRP
was	VBD	VBD
on	IN	IN
duty	NN	NN
there	RB	RB
.	.	.

No	DT	DT
doubt	NN	NN
there	EX	EX
would	MD	MD
be	VB	VB
men	NNS	NNS
guarding	VBG	IN
the	DT	DT
horses	NNS	NNS
.	.	.

a	DT	DT
dozen	NN	NN
animals	NNS	NNS
were	VBD	VBD
held	VBN	VBN
inside	IN	IN
the	DT	DT
stockade	NN	NN
,	,	,
as	IN	IN
best	RBS	DT
Mike	NNP	NN
could	MD	MD
make	VB	VB
out	RP	RB
in	IN	IN
the	DT	DT
moonlight	NN	NN
.	.	.

Evidently	RB	``
this	DT	DT
was	VBD	VBD
a	DT	DT
precaution	NN	NN
so	IN	IN
that	IN	DT
mounts	NNS	NNS
would	MD	MD
be	VB	VB
available	JJ	VBN
in	IN	IN
an	DT	DT
emergency	NN	NN
.	.	.

He	PRP	PRP
handed	VBD	VBD
the	DT	DT
guard	NN	NN
's	POS	POS
rifle	NN	NN
to	TO	TO
Fiske	NNP	VB
.	.	.

``	``	``
Dean	NNP	NNP
and	CC	CC
myself	PRP	PRP
will	MD	MD
try	VB	VB
to	TO	TO
cut	VB	VB
out	RP	IN
horses	NNS	NNS
to	TO	TO
ride	VB	VB
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
We	PRP	PRP
'll	MD	MD
stampede	VB	VB
the	DT	DT
rest	NN	NN
.	.	.

You	PRP	PRP
stay	VBP	VB
with	IN	IN
the	DT	DT
ladies	NNS	NNS
.	.	.

All	DT	DT
of	IN	IN
you	PRP	PRP
be	VB	VBP
ready	JJ	JJ
to	TO	TO
ride	VB	VB
hell	NN	NN
for	IN	IN
leather	NN	NN
''	''	''
.	.	.

He	PRP	PRP
added	VBD	VBD
,	,	,
``	``	``
If	IN	IN
this	DT	DT
does	VBZ	VBZ
n't	RB	RB
work	VB	VB
out	RB	RB
,	,	,
the	DT	DT
three	CD	CD
of	IN	IN
you	PRP	PRP
barricade	VB	VBP
yourself	PRP	PRP
in	IN	IN
the	DT	DT
house	NN	NN
and	CC	CC
talk	VB	VB
terms	NNS	VBN
with	IN	IN
them	PRP	PRP
''	''	''
.	.	.

He	PRP	PRP
handed	VBD	VBD
the	DT	DT
bayonet	NN	NN
to	TO	TO
Dean	NNP	VB
and	CC	CC
kept	VBD	VBD
the	DT	DT
pistol	NN	NN
.	.	.

Susan	NNP	PRP
halted	VBD	VBD
Dean	NNP	,
and	CC	CC
kissed	VBD	VBD
him	PRP	PRP
.	.	.

She	PRP	PRP
clung	VBD	VBD
to	TO	TO
him	PRP	PRP
,	,	,
talking	VBG	VBG
to	TO	TO
him	PRP	PRP
,	,	,
and	CC	CC
dabbing	VBG	VBD
at	IN	IN
her	PRP$	PRP$
eyes	NNS	NNS
.	.	.

Mike	NNP	PRP
turned	VBD	VBD
away	RB	RB
.	.	.

He	PRP	PRP
was	VBD	VBD
thinking	VBG	VBG
that	IN	IN
the	DT	DT
way	NN	NN
she	PRP	PRP
had	VBD	VBD
responded	VBN	VBN
to	TO	TO
his	PRP$	PRP$
own	JJ	JJ
kiss	NN	NN
had	VBD	VBD
n't	RB	RB
meant	VBN	VBD
what	WP	WP
he	PRP	PRP
had	VBD	VBD
believed	VBN	VBN
it	PRP	PRP
had	VBD	VBD
.	.	.

He	PRP	PRP
felt	VBD	VBD
unutterably	RB	JJ
weary	JJ	JJ
.	.	.

Dean	NNP	PRP
turned	VBD	VBD
from	IN	IN
Susan	NNP	NNP
and	CC	CC
took	VBD	VBD
Julia	NNP	TO
Fortune	NNP	VB
in	IN	IN
his	PRP$	PRP$
arms	NNS	NNS
.	.	.

He	PRP	PRP
kissed	VBD	VBD
her	PRP	PRP
also	RB	RB
,	,	,
and	CC	CC
with	IN	IN
deep	JJ	JJ
tenderness	NN	NN
.	.	.

She	PRP	PRP
too	RB	RB
began	VBD	VBD
to	TO	TO
weep	VB	VB
.	.	.

He	PRP	PRP
released	VBD	VBD
her	PRP	PRP
and	CC	CC
joined	VBD	VBD
Mike	NNP	JJ
.	.	.

``	``	``
All	RB	RB
right	JJ	JJ
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

Mike	NNP	``
only	RB	RB
said	VBD	VBD
,	,	,
``	``	``
Later	RB	RB
''	''	''
.	.	.

McLish	NNP	UH
''	''	''
!	.	.
!	.	.

Susan	NNP	PRP
said	VBD	VBD
fiercely	RB	JJ
.	.	.

The	DT	DT
way	NN	NN
you	PRP	PRP
were	VBD	VBD
careful	JJ	JJ
''	''	''
?	.	.
?	.	.

He	PRP	PRP
snorted	VBD	JJ
.	.	.

``	``	``
Running	VBG	VBP
around	RB	RB
in	IN	IN
the	DT	DT
moonlight	NN	NN
almost	RB	RB
naked	JJ	JJ
and	CC	CC
slugging	VBG	VBD
a	DT	DT
man	NN	NN
with	IN	IN
a	DT	DT
rock	NN	NN
''	''	''
?	.	.
?	.	.

He	PRP	PRP
kept	VBD	VBD
going	VBG	VBG
.	.	.

He	PRP	PRP
wanted	VBD	VBD
no	DT	DT
more	RBR	JJR
sentimental	JJ	TO
scenes	NNS	VB
with	IN	IN
her	PRP	PRP
.	.	.

He	PRP	PRP
might	MD	MD
say	VB	VB
or	CC	CC
do	VB	VB
something	NN	NN
foolish	JJ	NN
.	.	.

Something	NN	``
all	DT	DT
of	IN	IN
them	PRP	PRP
would	MD	MD
regret	VB	VB
.	.	.

He	PRP	PRP
might	MD	MD
tell	VB	VB
her	PRP	PRP
how	WRB	MD
sorry	JJ	VB
a	DT	DT
spectacle	NN	NN
she	PRP	PRP
was	VBD	VBD
making	VBG	VBG
of	IN	IN
herself	PRP	PRP
,	,	,
pretending	VBG	VBG
to	TO	TO
be	VB	VB
blind	JJ	JJ
to	TO	TO
the	DT	DT
way	NN	NN
Julia	NNP	IN
Fortune	NNP	PRP
had	VBD	VBD
taken	VBN	VBN
Dean	NNP	NNP
's	POS	POS
affections	NNS	NN
from	IN	IN
her	PRP	PRP
.	.	.

And	CC	CC
using	VBG	VBG
him	PRP	PRP
,	,	,
Mike	NNP	``
McLish	NNP	UH
,	,	,
as	IN	IN
a	DT	DT
sop	NN	NN
to	TO	TO
her	PRP$	PRP$
pride	NN	NN
.	.	.

He	PRP	PRP
handed	VBD	VBD
the	DT	DT
bayonet	NN	NN
to	TO	TO
Dean	NNP	VB
and	CC	CC
kept	VBD	VBD
the	DT	DT
pistol	NN	NN
.	.	.

``	``	``
Stay	VB	VB
well	RB	RB
back	RB	RB
of	IN	IN
me	PRP	PRP
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
I	PRP	PRP
'm	VBP	VBP
going	VBG	VBG
to	TO	TO
walk	VB	VB
up	RB	RB
to	TO	TO
the	DT	DT
horses	NNS	NNS
,	,	,
bold	JJ	JJ
as	IN	IN
brass	NN	NN
,	,	,
pretending	VBG	VBG
I	PRP	PRP
'm	VBP	VBP
one	CD	CD
of	IN	IN
the	DT	DT
guerrillas	NNS	NN
.	.	.

There	RB	EX
's	VBZ	VBZ
bound	VBN	VBN
to	TO	TO
be	VB	VB
someone	NN	NN
on	IN	IN
guard	NN	NN
,	,	,
but	CC	CC
the	DT	DT
hat	NN	NN
might	MD	MD
fool	VB	VB
them	PRP	PRP
long	RB	RB
enough	RB	RB
for	IN	IN
me	PRP	PRP
to	TO	TO
get	VB	VB
close	RB	RB
''	''	''
.	.	.

the	DT	DT
pistol	NN	NN
concealed	VBD	VBD
,	,	,
he	PRP	PRP
walked	VBD	VBD
to	TO	TO
the	DT	DT
rear	JJ	JJ
wall	NN	NN
of	IN	IN
the	DT	DT
stockade	NN	NN
.	.	.

It	PRP	PRP
was	VBD	VBD
pierced	VBN	VBN
by	IN	IN
a	DT	DT
wagon	NN	NN
gate	NN	VBD
built	VBN	VBN
of	IN	IN
two	CD	CD
wings	NNS	NNS
.	.	.

One	CD	CD
wing	NN	NNS
stood	VBD	VBD
open	JJ	JJ
.	.	.

Mike	NNP	PRP
passed	VBD	VBD
through	IN	IN
it	PRP	PRP
and	CC	CC
moved	VBD	VBD
toward	IN	IN
the	DT	DT
dark	JJ	JJ
mass	NN	NN
of	IN	IN
horses	NNS	NNS
.	.	.

They	PRP	PRP
were	VBD	VBD
tethered	VBN	RB
,	,	,
army	NN	``
style	NN	UH
,	,	,
on	IN	IN
stable	JJ	NN
lines	NNS	NN
.	.	.

A	DT	DT
voice	NN	NN
spoke	VBD	VBD
near-at-hand	JJ	JJ
.	.	.

``	``	``
Who	WP	WP
's	VBZ	VBZ
that	DT	DT
''	''	''
?	.	.
?	.	.

me	PRP	PRP
''	''	''
,	,	,
Mike	NNP	CC
said	VBD	VBD
.	.	.

``	``	``
Is	VBZ	VBZ
that	IN	IN
you	PRP	PRP
,	,	,
Bill	NNP	NNP
''	''	''
?	.	.
?	.	.

He	PRP	PRP
located	VBD	VBD
his	PRP$	PRP$
man	NN	NN
.	.	.

The	DT	DT
guard	NN	NN
stood	VBD	VBD
in	IN	IN
the	DT	DT
shadow	NN	NN
of	IN	IN
the	DT	DT
stockade	NN	NN
wall	NN	NN
just	RB	RB
out	IN	IN
of	IN	IN
reach	NN	VB
of	IN	IN
the	DT	DT
moonlight	NN	NN
.	.	.

Mike	NNP	PRP
kept	VBD	VBD
walking	VBG	VBG
and	CC	CC
got	VBD	VBD
within	IN	IN
arm	NN	NN
's	POS	POS
reach	NN	NN
before	IN	IN
the	DT	DT
man	NN	NN
became	VBD	VBD
suspicious	JJ	,
and	CC	CC
straightened	VBN	VBD
from	IN	IN
his	PRP$	PRP$
lax	JJ	NN
slouch	NN	NN
.	.	.

Mike	NNP	PRP
struck	VBD	VBD
with	IN	IN
the	DT	DT
muzzle	NN	NN
of	IN	IN
the	DT	DT
pistol	NN	NN
.	.	.

But	CC	CC
the	DT	DT
luck	NN	NN
that	WP	WDT
had	VBD	VBD
been	VBN	VBN
running	VBG	VBG
their	PRP$	PRP$
way	NN	NN
left	VBD	VBD
him	PRP	PRP
.	.	.

The	DT	DT
guard	NN	NN
instinctively	RB	TO
parried	VBD	VB
the	DT	DT
blow	NN	NN
with	IN	IN
his	PRP$	PRP$
rifle	NN	NN
.	.	.

He	PRP	PRP
tried	VBD	VBD
to	TO	TO
veer	VB	VB
the	DT	DT
rifle	NN	NN
around	IN	IN
to	TO	TO
fire	NN	NN
into	IN	IN
Mike	NNP	NNP
's	POS	POS
body	NN	NN
.	.	.

Mike	NNP	UH
,	,	,
off	JJ	IN
balance	JJ	NN
,	,	,
managed	VBD	VBD
to	TO	TO
bat	VB	VB
the	DT	DT
muzzle	NN	NN
away	RB	RB
a	DT	DT
moment	NN	NN
before	IN	IN
it	PRP	PRP
exploded	VBD	VBD
.	.	.

The	DT	DT
bullet	NN	NN
went	VBD	VBD
wide	JJ	JJ
.	.	.

Mike	NNP	PRP
swung	VBD	VBD
the	DT	DT
pistol	NN	NN
in	IN	IN
a	DT	DT
savage	JJ	JJ
backlash	NN	NN
.	.	.

This	DT	DT
time	NN	NN
it	PRP	PRP
connected	VBD	MD
solidly	RB	VB
on	IN	IN
the	DT	DT
man	NN	NN
's	POS	POS
temple	NN	NN
,	,	,
felling	VBG	CC
him	PRP	PRP
.	.	.

The	DT	DT
explosion	NN	NN
of	IN	IN
the	DT	DT
rifle	NN	NN
had	VBD	VBD
crashed	VBN	VBN
against	IN	IN
the	DT	DT
walls	NNS	NNS
of	IN	IN
the	DT	DT
stockade	NN	NN
and	CC	CC
the	DT	DT
deep	JJ	JJ
echoes	NNS	NNS
were	VBD	VBD
still	RB	RB
rolling	VBG	VBG
in	IN	IN
the	DT	DT
hills	NNS	NN
.	.	.

The	DT	DT
startled	VBN	JJ
horses	NNS	NNS
began	VBD	VBD
rearing	VBG	VBN
on	IN	IN
their	PRP$	PRP$
tethers	NNS	NN
.	.	.

Dean	NNP	PRP
came	VBD	VBD
rushing	VBG	VBN
up	RB	RB
.	.	.

``	``	``
Are	VBP	VBP
you	PRP	PRP
hit	VBN	VB
''	''	''
?	.	.
?	.	.

He	PRP	PRP
demanded	VBD	VBD
.	.	.

the	DT	DT
fat	NN	NN
's	VBZ	VBZ
in	IN	IN
the	DT	DT
fire	NN	NN
''	''	''
!	.	.
!	.	.

Mike	NNP	PRP
said	VBD	VBD
.	.	.

``	``	``
There	EX	EX
's	VBZ	VBZ
no	DT	DT
chance	NN	NN
now	RB	RB
of	IN	IN
all	DT	DT
of	IN	IN
us	PRP	PRP
getting	VBG	VBG
away	RB	RB
.	.	.

You	PRP	PRP
'll	MD	MD
have	VB	VB
to	TO	TO
try	VB	VB
it	PRP	PRP
alone	RB	RB
''	''	''
.	.	.

The	DT	DT
sentry	NN	NN
's	POS	POS
saddled	JJ	JJ
horse	NN	NN
stood	VBD	VBD
picketed	VBN	VBN
nearby	RB	RB
,	,	,
having	VBG	VBG
been	VBN	VBN
kept	VBN	VBN
handy	JJ	VBN
in	IN	IN
case	NN	NN
of	IN	IN
need	NN	NN
.	.	.

Mike	NNP	PRP
took	VBD	VBD
the	DT	DT
bayonet	NN	NN
from	IN	IN
Dean	NNP	NNP
's	POS	POS
hand	NN	NN
and	CC	CC
slashed	VBD	VBD
the	DT	DT
picket	NN	JJ
line	NN	NN
.	.	.

``	``	``
Up	RB	WRB
you	PRP	PRP
go	VBP	VB
''	''	''
!	.	.
!	.	.

He	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
Ride	VB	UH
''	''	''
!	.	.
!	.	.

Dean	NNP	PRP
resisted	VBD	VBD
Mike	NNP	NNP
's	POS	POS
attempt	NN	NN
to	TO	TO
push	VB	VB
him	PRP	PRP
toward	IN	IN
the	DT	DT
horse	NN	NN
.	.	.

``	``	``
Why	WRB	WRB
not	RB	RB
you	PRP	PRP
''	''	''
?	.	.
?	.	.

He	PRP	PRP
protested	VBD	VBD
.	.	.

Dammit	UH	UH
''	''	''
!	.	.
!	.	.

Mike	NNP	PRP
said	VBD	VBD
frantically	RB	JJ
.	.	.

``	``	``
You	PRP	PRP
're	VBP	VBP
lighter	JJR	VBN
than	IN	IN
me	PRP	PRP
.	.	.

It	PRP	PRP
's	POS	VBZ
our	PRP$	PRP$
only	JJ	JJ
chance	NN	NN
now	RB	RB
.	.	.

Try	VB	PRP
to	TO	TO
find	VB	VB
these	DT	DT
Feds	NNPS	NN
.	.	.

The	DT	DT
rest	NN	NN
of	IN	IN
us	PRP	PRP
can	MD	MD
fort	VB	VB
up	RP	RB
in	IN	IN
the	DT	DT
house	NN	NN
and	CC	CC
hang	VB	VBD
on	RP	IN
until	IN	IN
you	PRP	PRP
get	VBP	VBP
back	RB	RB
.	.	.

You	PRP	PRP
're	VBP	VBP
the	DT	DT
one	NN	CD
that	WP	WP
's	VBZ	VBZ
taking	VBG	VBG
the	DT	DT
big	JJ	JJ
chance	NN	NN
''	''	''
.	.	.

Dean	NNP	``
still	RB	RB
hesitated	VBD	VBD
,	,	,
but	CC	CC
Mike	NNP	PRP
lifted	VBD	VBD
him	PRP	PRP
almost	RB	RB
bodily	RB	VBD
into	IN	IN
the	DT	DT
saddle	NN	NN
and	CC	CC
thrust	VBD	VBD
the	DT	DT
reins	NNS	NNS
in	IN	IN
his	PRP$	PRP$
hand	NN	NN
.	.	.

No	DT	DT
telling	NN	VBG
how	WRB	WRB
good	JJ	JJ
this	DT	DT
horse	NN	NN
is	VBZ	VBZ
''	''	''
,	,	,
Mike	NNP	NN
panted	VBD	''
.	.	.

``	``	``
Favor	VB	WRB
him	PRP	PRP
and	CC	CC
save	VB	JJ
something	NN	NN
in	IN	IN
case	NN	NN
you	PRP	PRP
hit	VBP	VBD
trouble	NN	NN
.	.	.

Watch	VB	``
out	RB	RB
for	IN	IN
Apaches	NNPS	NN
when	WRB	WRB
it	PRP	PRP
comes	VBZ	VBZ
daylight	NN	NN
.	.	.

Take	VB	``
the	DT	DT
pistol	NN	NN
.	.	.

You	PRP	PRP
might	MD	MD
need	VB	VB
it	PRP	PRP
.	.	.

We	PRP	PRP
'll	MD	MD
still	RB	RB
have	VB	VB
the	DT	DT
rifle	NN	NN
,	,	,
and	CC	CC
I	PRP	PRP
might	MD	MD
be	VB	VB
able	JJ	JJ
to	TO	TO
round	VB	VB
up	IN	RP
some	DT	DT
more	JJR	RBR
