word	correct	predicted
cleared	VBN	VBP
out	RP	RB
.	.	.

I	PRP	PRP
did	VBD	VBD
n't	RB	RB
understand	VB	VB
why	WRB	WRB
,	,	,
Clay	NNP	NNP
.	.	.

They	PRP	PRP
just	RB	RB
all	DT	DT
cleared	VBD	NN
out	RP	.
.	.	.

I	PRP	PRP
treated	VBD	VBD
them	PRP	PRP
fair	RB	JJ
''	''	''
He	PRP	PRP
wiped	VBD	VBD
his	PRP$	PRP$
lips	NNS	NNS
with	IN	IN
a	DT	DT
sleeve	NN	NN
,	,	,
then	RB	RB
stared	VBD	VBD
at	IN	IN
Clayton	NNP	NN
in	IN	IN
a	DT	DT
childish	JJ	JJ
kind	NN	NN
of	IN	IN
wonder	NN	NN
.	.	.

``	``	``
Do	VB	WRB
you	PRP	PRP
mean	VB	VB
''	''	''
--	:	:
he	PRP	PRP
asked	VBD	VBD
almost	RB	RB
shyly	RB	:
--	:	:
``	``	``
you	PRP	PRP
want	VBP	VBP
me	PRP	PRP
to	TO	TO
go	VB	VB
with	IN	IN
you	PRP	PRP
,	,	,
wherever	WRB	WRB
you	PRP	PRP
're	VBP	VBP
goin	VB	VBN
''	''	''
?	.	.
?	.	.

``	``	``
You	PRP	PRP
do	VBP	VBP
n't	RB	RB
hate	VB	VBP
me	PRP	PRP
any	RB	RB
more	RBR	RBR
''	''	''
?	.	.
?	.	.

Clayton	NNP	DT
choked	VBD	NN
,	,	,
shook	VBD	VBD
his	PRP$	PRP$
head	NN	NN
,	,	,
murmuring	VBG	RB
,	,	,
``	``	``
No	UH	UH
''	''	''
.	.	.

The	DT	DT
sentry	NN	NN
was	VBD	VBD
not	RB	RB
dead	JJ	JJ
.	.	.

He	PRP	PRP
was	VBD	VBD
,	,	,
in	IN	IN
fact	NN	NN
,	,	,
showing	VBG	PRP
signs	NNS	VBD
of	IN	IN
reviving	VBG	NN
.	.	.

He	PRP	PRP
had	VBD	VBD
been	VBN	VBN
carrying	VBG	IN
an	DT	DT
Enfield	NNP	NN
rifle	NN	,
and	CC	CC
a	DT	DT
holstered	JJ	JJ
navy	NN	NN
cap-and-ball	JJ	.
pistol	NN	.
.	.	.

A	DT	DT
bayonet	NN	NN
hung	VBD	VBN
in	IN	IN
a	DT	DT
belt	NN	NN
scabbard	NN	.
.	.	.

He	PRP	PRP
was	VBD	VBD
partially	RB	TO
uniformed	JJ	VB
in	IN	IN
a	DT	DT
cavalry	NN	NN
tunic	NN	,
and	CC	CC
hat	NN	NN
.	.	.

Mike	NNP	PRP
stripped	VBD	VBD
these	DT	DT
from	IN	IN
him	PRP	PRP
and	CC	CC
donned	VBD	WRB
them	PRP	PRP
.	.	.

He	PRP	PRP
and	CC	CC
Dean	NNP	RB
tied	VBD	VBN
and	CC	CC
gagged	VBD	IN
the	DT	DT
man	NN	NN
,	,	,
using	VBG	VBG
his	PRP$	PRP$
belt	NN	NN
and	CC	CC
shirt	NN	NN
for	IN	IN
the	DT	DT
purpose	NN	NN
.	.	.

They	PRP	PRP
dragged	VBD	VBD
him	PRP	PRP
inside	IN	IN
the	DT	DT
building	NN	NN
.	.	.

Fiske	NNP	PRP
joined	VBD	VBD
them	PRP	PRP
,	,	,
unsteady	VB	CC
on	IN	IN
his	PRP$	PRP$
feet	NNS	NNS
.	.	.

Julia	NNP	NNP
,	,	,
seeing	VBG	VBG
the	DT	DT
bandage	NN	NN
,	,	,
rushed	VBD	VBD
to	TO	TO
him	PRP	PRP
.	.	.

``	``	``
You	PRP	PRP
are	VBP	VBP
hurt	VBN	VBN
''	''	''
!	.	.
!	.	.

She	PRP	PRP
breathed	VBD	.
.	.	.

I	PRP	PRP
never	RB	RB
felt	VBD	VBN
better	RB	RB
in	IN	IN
my	PRP$	PRP$
life	NN	NN
''	''	''
,	,	,
Fiske	NNP	PRP
blustered	VBD	.
.	.	.

He	PRP	PRP
turned	VBD	VBD
to	TO	TO
Susan	NNP	VB
and	CC	CC
kissed	VBD	WRB
her	PRP	PRP
on	IN	IN
the	DT	DT
cheek	NN	NN
.	.	.

``	``	``
Thank	VB	WRB
you	PRP	PRP
,	,	,
My	PRP$	PRP$
dear	NN	NN
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
You	PRP	PRP
are	VBP	VBP
very	RB	RB
brave	JJ	JJ
''	''	''
.	.	.

Mike	NNP	PRP
silenced	VBD	VBD
them	PRP	PRP
.	.	.

``	``	``
We	PRP	PRP
'll	MD	MD
talk	VB	VB
later	RB	RB
.	.	.

First	RB	RB
,	,	,
we	PRP	PRP
've	VB	VBP
got	VBD	VBN
to	TO	TO
get	VB	VB
out	RB	RB
of	IN	IN
here	RB	RB
''	''	''
.	.	.

We	PRP	PRP
'll	MD	MD
grab	VB	VB
horses	NNS	NNS
''	''	''
,	,	,
Dean	NNP	PRP
said	VBD	VBD
.	.	.

``	``	``
The	DT	DT
main	JJ	JJ
bunch	NN	NN
is	VBZ	VBZ
outside	RB	RB
,	,	,
but	CC	CC
there	EX	EX
are	VBP	VBP
some	DT	DT
over	IN	RB
there	RB	RB
inside	IN	IN
the	DT	DT
wall	NN	NN
''	''	''
.	.	.

Mike	NNP	PRP
debated	VBD	VBD
it	PRP	PRP
,	,	,
trying	VBG	VBG
to	TO	TO
decide	VB	VB
whether	IN	IN
Fiske	NNP	PRP
was	VBD	VBD
strong	JJ	JJ
enough	RB	JJ
to	TO	TO
ride	VB	VB
.	.	.

But	CC	CC
it	PRP	PRP
at	IN	IN
least	JJS	JJS
offered	VBD	WRB
him	PRP	PRP
a	DT	DT
chance	NN	NN
for	IN	IN
living	NN	VBG
.	.	.

He	PRP	PRP
had	VBD	VBD
none	NN	RB
here	RB	RB
.	.	.

And	CC	CC
,	,	,
for	IN	IN
the	DT	DT
sake	NN	NN
of	IN	IN
Julia	NNP	NN
and	CC	CC
Susan	NNP	NNP
,	,	,
it	PRP	PRP
had	VBD	VBD
to	TO	TO
be	VB	VB
tried	VBN	.
.	.	.

The	DT	DT
guerrilla	NN	JJ
bivouac	NN	NN
remained	VBD	.
silent	JJ	.
.	.	.

Light	NN	PRP
showed	VBD	VBD
in	IN	IN
the	DT	DT
orderly	JJ	JJ
room	NN	NN
across	IN	IN
the	DT	DT
parade	NN	JJ
ground	NN	NN
.	.	.

Someone	NN	WRB
evidently	RB	PRP
was	VBD	VBD
on	IN	IN
duty	NN	NN
there	RB	.
.	.	.

No	DT	DT
doubt	NN	NN
there	EX	EX
would	MD	MD
be	VB	VB
men	NNS	NNS
guarding	VBG	IN
the	DT	DT
horses	NNS	NNS
.	.	.

a	DT	DT
dozen	NN	NN
animals	NNS	WDT
were	VBD	VBD
held	VBN	VBN
inside	IN	IN
the	DT	DT
stockade	NN	NN
,	,	,
as	IN	IN
best	RBS	JJS
Mike	NNP	NN
could	MD	MD
make	VB	VB
out	RP	RB
in	IN	IN
the	DT	DT
moonlight	NN	NN
.	.	.

Evidently	RB	IN
this	DT	DT
was	VBD	VBD
a	DT	DT
precaution	NN	NN
so	IN	RB
that	IN	IN
mounts	NNS	PRP
would	MD	MD
be	VB	VB
available	JJ	JJ
in	IN	IN
an	DT	DT
emergency	NN	NN
.	.	.

He	PRP	PRP
handed	VBD	VBD
the	DT	DT
guard	NN	NNP
's	POS	POS
rifle	NN	NN
to	TO	TO
Fiske	NNP	VB
.	.	.

``	``	``
Dean	NNP	NNP
and	CC	CC
myself	PRP	PRP
will	MD	MD
try	VB	VB
to	TO	TO
cut	VB	VB
out	RP	IN
horses	NNS	NNS
to	TO	TO
ride	VB	VB
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
We	PRP	PRP
'll	MD	MD
stampede	VB	VB
the	DT	DT
rest	NN	NN
.	.	.

You	PRP	PRP
stay	VBP	VBD
with	IN	IN
the	DT	DT
ladies	NNS	NNS
.	.	.

All	DT	DT
of	IN	IN
you	PRP	PRP
be	VB	VB
ready	JJ	JJ
to	TO	TO
ride	VB	VB
hell	NN	VBN
for	IN	IN
leather	NN	NNP
''	''	''
.	.	.

He	PRP	PRP
added	VBD	VBD
,	,	,
``	``	``
If	IN	IN
this	DT	DT
does	VBZ	VBZ
n't	RB	RB
work	VB	VB
out	RB	RB
,	,	,
the	DT	DT
three	CD	CD
of	IN	IN
you	PRP	PRP
barricade	VB	MD
yourself	PRP	VB
in	IN	IN
the	DT	DT
house	NN	NN
and	CC	CC
talk	VB	NN
terms	NNS	NNS
with	IN	IN
them	PRP	PRP
''	''	''
.	.	.

He	PRP	PRP
handed	VBD	VBD
the	DT	DT
bayonet	NN	NN
to	TO	TO
Dean	NNP	VB
and	CC	CC
kept	VBD	VBD
the	DT	DT
pistol	NN	NN
.	.	.

Susan	NNP	PRP
halted	VBD	MD
Dean	NNP	VB
and	CC	CC
kissed	VBD	WRB
him	PRP	PRP
.	.	.

She	PRP	PRP
clung	VBD	VBD
to	TO	TO
him	PRP	PRP
,	,	,
talking	VBG	VBG
to	TO	TO
him	PRP	PRP
,	,	,
and	CC	CC
dabbing	VBG	RB
at	IN	IN
her	PRP$	PRP$
eyes	NNS	NNS
.	.	.

Mike	NNP	PRP
turned	VBD	VBD
away	RB	RB
.	.	.

He	PRP	PRP
was	VBD	VBD
thinking	VBG	NN
that	IN	IN
the	DT	DT
way	NN	NN
she	PRP	PRP
had	VBD	VBD
responded	VBN	VBN
to	TO	TO
his	PRP$	PRP$
own	JJ	JJ
kiss	NN	NNS
had	VBD	VBD
n't	RB	RB
meant	VBN	VBD
what	WP	WP
he	PRP	PRP
had	VBD	VBD
believed	VBN	VBN
it	PRP	PRP
had	VBD	VBD
.	.	.

He	PRP	PRP
felt	VBD	VBD
unutterably	RB	.
weary	JJ	.
.	.	.

Dean	NNP	PRP
turned	VBD	VBD
from	IN	IN
Susan	NNP	NN
and	CC	CC
took	VBD	VBD
Julia	NNP	TO
Fortune	NNP	VB
in	IN	IN
his	PRP$	PRP$
arms	NNS	NNS
.	.	.

He	PRP	PRP
kissed	VBD	VBD
her	PRP	PRP
also	RB	RB
,	,	,
and	CC	CC
with	IN	IN
deep	JJ	JJ
tenderness	NN	.
.	.	.

She	PRP	PRP
too	RB	RB
began	VBD	VBD
to	TO	TO
weep	VB	VB
.	.	.

He	PRP	PRP
released	VBD	VBD
her	PRP	PRP
and	CC	CC
joined	VBD	VBD
Mike	NNP	.
.	.	.

``	``	``
All	RB	DT
right	JJ	NN
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

Mike	NNP	PRP
only	RB	RB
said	VBD	VBD
,	,	,
``	``	``
Later	RB	UH
''	''	''
.	.	.

McLish	NNP	UH
''	''	''
!	.	.
!	.	.

Susan	NNP	PRP
said	VBD	VBD
fiercely	RB	.
.	.	.

The	DT	DT
way	NN	NN
you	PRP	PRP
were	VBD	VBD
careful	JJ	JJ
''	''	''
?	.	.
?	.	.

He	PRP	PRP
snorted	VBD	.
.	.	.

``	``	``
Running	VBG	NN
around	RB	IN
in	IN	IN
the	DT	DT
moonlight	NN	NN
almost	RB	RB
naked	JJ	JJ
and	CC	CC
slugging	VBG	IN
a	DT	DT
man	NN	NN
with	IN	IN
a	DT	DT
rock	NN	NN
''	''	''
?	.	.
?	.	.

He	PRP	PRP
kept	VBD	VBD
going	VBG	VBG
.	.	.

He	PRP	PRP
wanted	VBD	VBD
no	DT	RB
more	RBR	RBR
sentimental	JJ	JJ
scenes	NNS	NNS
with	IN	IN
her	PRP	PRP
.	.	.

He	PRP	PRP
might	MD	MD
say	VB	VB
or	CC	CC
do	VB	VBP
something	NN	NN
foolish	JJ	.
.	.	.

Something	NN	IN
all	DT	DT
of	IN	IN
them	PRP	PRP
would	MD	MD
regret	VB	VB
.	.	.

He	PRP	PRP
might	MD	MD
tell	VB	VB
her	PRP	PRP
how	WRB	MD
sorry	JJ	VB
a	DT	DT
spectacle	NN	NN
she	PRP	PRP
was	VBD	VBD
making	VBG	VBG
of	IN	IN
herself	PRP	PRP
,	,	,
pretending	VBG	VBG
to	TO	TO
be	VB	VB
blind	JJ	JJ
to	TO	TO
the	DT	DT
way	NN	NN
Julia	NNP	,
Fortune	NNP	PRP
had	VBD	VBD
taken	VBN	VBN
Dean	NNP	NNP
's	POS	POS
affections	NNS	NN
from	IN	IN
her	PRP	PRP
.	.	.

And	CC	CC
using	VBG	VBG
him	PRP	PRP
,	,	,
Mike	NNP	CC
McLish	NNP	NNP
,	,	,
as	IN	IN
a	DT	DT
sop	NN	NN
to	TO	TO
her	PRP$	PRP$
pride	NN	NN
.	.	.

He	PRP	PRP
handed	VBD	VBD
the	DT	DT
bayonet	NN	NN
to	TO	TO
Dean	NNP	VB
and	CC	CC
kept	VBD	VBD
the	DT	DT
pistol	NN	NN
.	.	.

``	``	``
Stay	VB	VBZ
well	RB	RB
back	RB	RB
of	IN	IN
me	PRP	PRP
''	''	''
,	,	,
he	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
I	PRP	PRP
'm	VBP	VBP
going	VBG	VBG
to	TO	TO
walk	VB	VB
up	RB	RB
to	TO	TO
the	DT	DT
horses	NNS	NNS
,	,	,
bold	JJ	JJ
as	IN	IN
brass	NN	NNP
,	,	,
pretending	VBG	VBG
I	PRP	PRP
'm	VBP	VBP
one	CD	CD
of	IN	IN
the	DT	DT
guerrillas	NNS	NN
.	.	.

There	RB	EX
's	VBZ	VBZ
bound	VBN	VBN
to	TO	TO
be	VB	VB
someone	NN	VBN
on	IN	IN
guard	NN	NNP
,	,	,
but	CC	CC
the	DT	DT
hat	NN	NN
might	MD	MD
fool	VB	VB
them	PRP	PRP
long	RB	RB
enough	RB	RB
for	IN	IN
me	PRP	PRP
to	TO	TO
get	VB	VB
close	RB	RB
''	''	''
.	.	.

the	DT	DT
pistol	NN	JJ
concealed	VBD	NNS
,	,	,
he	PRP	PRP
walked	VBD	VBD
to	TO	TO
the	DT	DT
rear	JJ	JJ
wall	NN	NN
of	IN	IN
the	DT	DT
stockade	NN	NN
.	.	.

It	PRP	PRP
was	VBD	VBD
pierced	VBN	VBN
by	IN	IN
a	DT	DT
wagon	NN	NN
gate	NN	NN
built	VBN	VBD
of	IN	IN
two	CD	CD
wings	NNS	.
.	.	.

One	CD	PRP
wing	NN	.
stood	VBD	.
open	JJ	.
.	.	.

Mike	NNP	PRP
passed	VBD	VBD
through	IN	IN
it	PRP	PRP
and	CC	CC
moved	VBD	VBD
toward	IN	IN
the	DT	DT
dark	JJ	JJ
mass	NN	NN
of	IN	IN
horses	NNS	NNS
.	.	.

They	PRP	PRP
were	VBD	VBD
tethered	VBN	RB
,	,	,
army	NN	DT
style	NN	NN
,	,	,
on	IN	IN
stable	JJ	JJ
lines	NNS	NNS
.	.	.

A	DT	DT
voice	NN	NN
spoke	VBD	.
near-at-hand	JJ	.
.	.	.

``	``	``
Who	WP	PRP
's	VBZ	VBZ
that	DT	IN
''	''	''
?	.	.
?	.	.

me	PRP	PRP
''	''	''
,	,	,
Mike	NNP	PRP
said	VBD	VBD
.	.	.

``	``	``
Is	VBZ	VBZ
that	IN	IN
you	PRP	PRP
,	,	,
Bill	NNP	NNP
''	''	''
?	.	.
?	.	.

He	PRP	PRP
located	VBD	VBD
his	PRP$	PRP$
man	NN	NN
.	.	.

The	DT	DT
guard	NN	NN
stood	VBD	VBD
in	IN	IN
the	DT	DT
shadow	NN	NN
of	IN	IN
the	DT	DT
stockade	NN	JJ
wall	NN	NN
just	RB	RB
out	IN	RB
of	IN	IN
reach	NN	NN
of	IN	IN
the	DT	DT
moonlight	NN	NN
.	.	.

Mike	NNP	PRP
kept	VBD	VBD
walking	VBG	VBN
and	CC	CC
got	VBD	VBD
within	IN	IN
arm	NN	NN
's	POS	POS
reach	NN	NN
before	IN	IN
the	DT	DT
man	NN	NN
became	VBD	VBD
suspicious	JJ	JJ
and	CC	CC
straightened	VBN	RB
from	IN	IN
his	PRP$	PRP$
lax	JJ	NNS
slouch	NN	.
.	.	.

Mike	NNP	PRP
struck	VBD	VBD
with	IN	IN
the	DT	DT
muzzle	NN	NN
of	IN	IN
the	DT	DT
pistol	NN	NN
.	.	.

But	CC	CC
the	DT	DT
luck	NN	NN
that	WP	WDT
had	VBD	VBD
been	VBN	VBN
running	VBG	IN
their	PRP$	PRP$
way	NN	NN
left	VBD	VBD
him	PRP	PRP
.	.	.

The	DT	DT
guard	NN	JJ
instinctively	RB	NNS
parried	VBD	IN
the	DT	DT
blow	NN	NN
with	IN	IN
his	PRP$	PRP$
rifle	NN	NNS
.	.	.

He	PRP	PRP
tried	VBD	VBD
to	TO	TO
veer	VB	VB
the	DT	DT
rifle	NN	NN
around	IN	IN
to	TO	TO
fire	NN	VB
into	IN	IN
Mike	NNP	NNP
's	POS	POS
body	NN	NN
.	.	.

Mike	NNP	NNP
,	,	,
off	JJ	IN
balance	JJ	NN
,	,	,
managed	VBD	CC
to	TO	TO
bat	VB	VB
the	DT	DT
muzzle	NN	NN
away	RB	RB
a	DT	DT
moment	NN	NN
before	IN	IN
it	PRP	PRP
exploded	VBD	.
.	.	.

The	DT	DT
bullet	NN	NN
went	VBD	.
wide	JJ	.
.	.	.

Mike	NNP	PRP
swung	VBD	VBD
the	DT	DT
pistol	NN	NN
in	IN	IN
a	DT	DT
savage	JJ	NN
backlash	NN	.
.	.	.

This	DT	DT
time	NN	NN
it	PRP	PRP
connected	VBD	MD
solidly	RB	VB
on	IN	IN
the	DT	DT
man	NN	NN
's	POS	POS
temple	NN	NN
,	,	,
felling	VBG	WRB
him	PRP	PRP
.	.	.

The	DT	DT
explosion	NN	NN
of	IN	IN
the	DT	DT
rifle	NN	NN
had	VBD	VBD
crashed	VBN	VBN
against	IN	IN
the	DT	DT
walls	NNS	NNS
of	IN	IN
the	DT	DT
stockade	NN	NN
and	CC	CC
the	DT	DT
deep	JJ	JJ
echoes	NNS	NNS
were	VBD	VBD
still	RB	RB
rolling	VBG	VBN
in	IN	IN
the	DT	DT
hills	NNS	NNS
.	.	.

The	DT	DT
startled	VBN	JJ
horses	NNS	NNS
began	VBD	VBD
rearing	VBG	VBN
on	IN	IN
their	PRP$	PRP$
tethers	NNS	NNS
.	.	.

Dean	NNP	PRP
came	VBD	VBD
rushing	VBG	RB
up	RB	RB
.	.	.

``	``	``
Are	VBP	WRB
you	PRP	PRP
hit	VBN	VBD
''	''	''
?	.	.
?	.	.

He	PRP	PRP
demanded	VBD	.
.	.	.

the	DT	DT
fat	NN	JJ
's	VBZ	NNS
in	IN	IN
the	DT	DT
fire	NN	NN
''	''	''
!	.	.
!	.	.

Mike	NNP	PRP
said	VBD	VBD
.	.	.

``	``	``
There	EX	EX
's	VBZ	VBZ
no	DT	DT
chance	NN	NN
now	RB	RB
of	IN	IN
all	DT	DT
of	IN	IN
us	PRP	PRP
getting	VBG	VBP
away	RB	RB
.	.	.

You	PRP	PRP
'll	MD	MD
have	VB	VB
to	TO	TO
try	VB	VB
it	PRP	PRP
alone	RB	RB
''	''	''
.	.	.

The	DT	DT
sentry	NN	NNP
's	POS	POS
saddled	JJ	JJ
horse	NN	NN
stood	VBD	VBD
picketed	VBN	RB
nearby	RB	RB
,	,	,
having	VBG	VBG
been	VBN	VBN
kept	VBN	TO
handy	JJ	VB
in	IN	IN
case	NN	NN
of	IN	IN
need	NN	NN
.	.	.

Mike	NNP	PRP
took	VBD	VBD
the	DT	DT
bayonet	NN	NN
from	IN	IN
Dean	NNP	NNP
's	POS	POS
hand	NN	NN
and	CC	CC
slashed	VBD	IN
the	DT	DT
picket	NN	JJ
line	NN	NN
.	.	.

``	``	``
Up	RB	WRB
you	PRP	PRP
go	VBP	VB
''	''	''
!	.	.
!	.	.

He	PRP	PRP
said	VBD	VBD
.	.	.

``	``	``
Ride	VB	UH
''	''	''
!	.	.
!	.	.

Dean	NNP	NNP
resisted	VBD	NNP
Mike	NNP	NNP
's	POS	POS
attempt	NN	NN
to	TO	TO
push	VB	VB
him	PRP	PRP
toward	IN	IN
the	DT	DT
horse	NN	NN
.	.	.

``	``	``
Why	WRB	WRB
not	RB	RB
you	PRP	PRP
''	''	''
?	.	.
?	.	.

He	PRP	PRP
protested	VBD	VBD
.	.	.

Dammit	UH	UH
''	''	''
!	.	.
!	.	.

Mike	NNP	PRP
said	VBD	VBD
frantically	RB	.
.	.	.

``	``	``
You	PRP	PRP
're	VBP	VBP
lighter	JJR	VBN
than	IN	IN
me	PRP	PRP
.	.	.

It	PRP	PRP
's	POS	VBZ
our	PRP$	PRP$
only	JJ	JJ
chance	NN	NN
now	RB	RB
.	.	.

Try	VB	PRP
to	TO	TO
find	VB	VB
these	DT	DT
Feds	NNPS	NN
.	.	.

The	DT	DT
rest	NN	NN
of	IN	IN
us	PRP	PRP
can	MD	MD
fort	VB	VB
up	RP	RB
in	IN	IN
the	DT	DT
house	NN	NN
and	CC	CC
hang	VB	RB
on	RP	IN
until	IN	IN
you	PRP	PRP
get	VBP	VBP
back	RB	RB
.	.	.

You	PRP	PRP
're	VBP	VBP
the	DT	DT
one	NN	NN
that	WP	WDT
's	VBZ	VBZ
taking	VBG	VBG
the	DT	DT
big	JJ	JJ
chance	NN	NN
''	''	''
.	.	.

Dean	NNP	PRP
still	RB	RB
hesitated	VBD	RB
,	,	,
but	CC	CC
Mike	NNP	PRP
lifted	VBD	VBD
him	PRP	PRP
almost	RB	RB
bodily	RB	VBN
into	IN	IN
the	DT	DT
saddle	NN	NN
and	CC	CC
thrust	VBD	IN
the	DT	DT
reins	NNS	NNS
in	IN	IN
his	PRP$	PRP$
hand	NN	NN
.	.	.

No	DT	DT
telling	NN	VBG
how	WRB	WRB
good	JJ	JJ
this	DT	DT
horse	NN	NN
is	VBZ	VBZ
''	''	''
,	,	,
Mike	NNP	PRP
panted	VBD	.
.	.	.

``	``	``
Favor	VB	WRB
him	PRP	PRP
and	CC	CC
save	VB	IN
something	NN	NN
in	IN	IN
case	NN	NN
you	PRP	PRP
hit	VBP	VBD
trouble	NN	NN
.	.	.

Watch	VB	PRP
out	RB	RB
for	IN	IN
Apaches	NNPS	``
when	WRB	WRB
it	PRP	PRP
comes	VBZ	VBZ
daylight	NN	NN
.	.	.

Take	VB	IN
the	DT	DT
pistol	NN	NN
.	.	.

You	PRP	PRP
might	MD	MD
need	VB	VB
it	PRP	PRP
.	.	.

We	PRP	PRP
'll	MD	MD
still	RB	RB
have	VB	VB
the	DT	DT
rifle	NN	NN
,	,	,
and	CC	CC
I	PRP	PRP
might	MD	MD
be	VB	VB
able	JJ	JJ
to	TO	TO
round	VB	VB
up	IN	IN
some	DT	DT
more	JJR	JJR
.	.	.

I	PRP	PRP
'll	MD	MD
stampede	VB	VB
the	DT	DT
